student_names,phone_no.,math,physics,chemistry,grade,comment,roll_no.,school_name,student_address
Donald Contreras,9208625450,76,84,54,B+,Good Pursuance,524613,Martin Luther School,"478 Mooney Park, New Valerie, VI 28836"
Joseph Horton,9886408555,91,75,78,A,Very Good Achivement,561635,Martin Luther School,"037 Matthew Shores, Greeneton, CA 98399"
Savannah Burns MD,9047592659,64,98,20,C,Below Average Achivement,560985,Martin Luther School,"96124 Lloyd Streets, Edwardmouth, DC 61677"
William Carter,9048473864,15,95,32,D,Poor Pursuance,535126,Martin Luther School,"11959 Clark Village, Ivanview, NH 43940"
John Rodriguez,9685225730,86,86,66,B+,Good Pursuance,559410,Martin Luther School,"051 Weaver Glen Apt. 724, West Davidborough, MT 06034"
Natalie Nash,9966112184,18,41,11,F,Failed,564296,Martin Luther School,"1269 Joel Village, New Josephshire, WA 54166"
Ronald Ellison,9720465847,86,50,38,C,Below Average Achivement,580403,Martin Luther School,"4115 Melanie Shores Suite 379, Wilsonshire, VA 43126"
Robert Perez,9923267462,14,55,19,F,Failed,580380,Martin Luther School,"27035 Fisher Heights Suite 293, Guerrerohaven, MI 54904"
Marilyn Curry,9085338581,100,38,14,D,Poor Pursuance,523556,Martin Luther School,"1037 Kevin Stream, Dannyland, WI 12172"
Katherine Lambert,9393898645,29,51,50,D,Poor Pursuance,527497,Martin Luther School,"67075 Zoe Lock Apt. 777, North Cherylton, WV 75840"
Timothy Torres,9781807518,19,25,25,F,Failed,582730,Martin Luther School,"1930 Craig Gardens Apt. 951, Coleshire, PA 42090"
Rachel Price,9054546045,30,45,60,D,Poor Pursuance,527744,Martin Luther School,"16815 Barker Manors Suite 847, Julieberg, NH 02676"
Elaine Wright,9170628674,30,31,53,D,Poor Pursuance,549732,Martin Luther School,"Unit 2025 Box 6383, DPO AE 95952"
Shannon Anderson,9169011390,31,89,96,B+,Good Pursuance,546564,Martin Luther School,"165 Ryan Park Suite 290, Wilkersonmouth, MD 51642"
Jordan Watkins,9936800225,55,33,79,C,Below Average Achivement,554410,Martin Luther School,"982 Hernandez Route Suite 469, Chaneytown, MS 96703"
Angela Newman,9383285056,84,62,72,B+,Good Pursuance,596761,Martin Luther School,"52805 Peterson Meadows Suite 471, Johnshire, NH 63390"
Mike Parsons,9225405566,72,58,64,B,Average Performance,566223,Martin Luther School,"825 Thomas Trail, North Matthewstad, MS 55091"
Edward Holt,9555876424,57,31,16,D,Poor Pursuance,541171,Martin Luther School,"744 Catherine Drive Suite 291, Lake Roybury, ND 50708"
Brandi Lewis,9795776565,52,18,100,C,Below Average Achivement,546803,Martin Luther School,"Unit 6253 Box 8207, DPO AA 08935"
Jasmine English,9362949427,68,38,55,C,Below Average Achivement,543048,Martin Luther School,"6693 Tammy Springs Suite 166, East Kristin, NV 08415"
Christopher Gross,9370601411,40,55,75,C,Below Average Achivement,574175,Martin Luther School,"402 Ashley Drive Suite 025, Dawnland, HI 13274"
Matthew Garcia,9902466283,69,18,48,D,Poor Pursuance,532130,Martin Luther School,"6141 Brandy Fords Apt. 403, Amberside, AZ 39596"
Andrea Edwards,9566544018,30,38,100,C,Below Average Achivement,574914,Martin Luther School,"8454 Antonio Pike, Jamesberg, WA 47501"
Brittany Howard,9858705702,76,13,32,D,Poor Pursuance,553405,Martin Luther School,"96006 Cody Union Apt. 202, Guzmanchester, NC 34103"
Joseph Morgan,9502491383,77,56,39,C,Below Average Achivement,581182,Martin Luther School,"269 Ann Tunnel, Port Kimville, PA 81506"
Christine Taylor,9038364601,29,86,90,B,Average Performance,574222,Martin Luther School,"228 Peter Extension Apt. 828, New Jasmineburgh, KY 73772"
Justin Thompson,9448199726,16,28,98,D,Poor Pursuance,557489,Martin Luther School,"Unit 6609 Box 7074, DPO AE 76585"
Megan Tate,9804914772,19,75,20,D,Poor Pursuance,528473,Martin Luther School,"5746 Kelly Coves, Wuview, VI 20116"
Robert Palmer,9744470958,63,35,58,C,Below Average Achivement,513448,Martin Luther School,"68666 Jones Shores, West Ricky, OK 57099"
Nicholas Figueroa DVM,9227551046,21,23,76,D,Poor Pursuance,533597,Martin Luther School,"95574 Nancy Land Suite 365, South Stevenfurt, TN 75279"
Jerry Leon,9271439097,96,85,99,A+,Excellent Performance,573014,Martin Luther School,"314 Steven Park Apt. 959, Loveville, WI 92600"
Patrick Avery,9986493120,39,96,55,B,Average Performance,566411,Martin Luther School,"8091 Gail Oval, Davischester, MP 80754"
Anthony Brooks,9227585479,47,15,61,D,Poor Pursuance,593020,Martin Luther School,"9443 Brady Pine, Ronaldburgh, AR 58724"
Thomas Dunlap,9517226927,70,55,46,C,Below Average Achivement,526254,Martin Luther School,"9757 Brown Light, South Elizabethfort, MI 50087"
